Use Case,Industry,Description,Code Github
HIA (Health Insights Agent),Healthcare,analyses medical reports and provide health insights.,https://github.com/harshhh28/hia.git
AI Health Assistant,Healthcare,Diagnoses and monitors diseases using patient data.,https://github.com/ahmadvh/AI-Agents-for-Medical-Diagnostics.git
Automated Trading Bot,Finance,Automates stock trading with real-time market analysis.,https://github.com/MingyuJ666/Stockagent.git
Virtual AI Tutor,Education,Provides personalized education tailored to users.,https://github.com/hqanhh/EduGPT.git
24/7 AI Chatbot,Customer Service,Handles customer queries around the clock.,https://github.com/NirDiamant/GenAI_Agents/blob/main/all_agents_tutorials/customer_support_agent_langgraph.ipynb
Product Recommendation Agent,Retail,Suggests products based on user preferences and history.,https://github.com/microsoft/RecAI
Self-Driving Delivery Agent,Transportation,Optimizes routes and autonomously delivers packages.,https://github.com/sled-group/driVLMe
Factory Process Monitoring Agent,Manufacturing,Monitors production lines and ensures quality control.,https://github.com/yuchenxia/llm4ias
Property Pricing Agent,Real Estate,Analyzes market trends to determine property prices.,https://github.com/AleksNeStu/ai-real-estate-assistant
Smart Farming Assistant,Agriculture,Provides insights on crop health and yield predictions.,https://github.com/mohammed97ashraf/LLM_Agri_Bot
Energy Demand Forecasting Agent,Energy,Predicts energy usage to optimize grid management.,https://github.com/yecchen/MIRAI
Content Personalization Agent,Entertainment,Recommends personalized media based on preferences.,https://github.com/crosleythomas/MirrorGPT
Legal Document Review Assistant,Legal,Automates document review and highlights key clauses.,https://github.com/firica/legalai
Recruitment Recommendation Agent,Human Resources,Suggests best-fit candidates for job openings.,https://github.com/sentient-engineering/jobber
Virtual Travel Assistant,Hospitality,Plans travel itineraries based on preferences.,https://github.com/nirbar1985/ai-travel-agent
AI Game Companion Agent,Gaming,Enhances player experience with real-time assistance.,https://github.com/onjas-buidl/LLM-agent-game
Real-Time Threat Detection Agent,Cybersecurity,Identifies potential threats and mitigates attacks.,https://github.com/NVISOsecurity/cyber-security-llm-agents
E-commerce Personal Shopper Agent,E-commerce,Helps customers find products theyâ€™ll love.,https://github.com/Hoanganhvu123/ShoppingGPT
Logistics Optimization Agent,Supply Chain,Plans efficient delivery routes and manages inventory.,https://github.com/microsoft/OptiGuide
Vibe Hacking Agent,Cybersecurity,Autonomous Multi-Agent Based Red Team Testing Service.,https://github.com/PurpleAILAB/Decepticon
MediSuite-Ai-Agent,Health insurance,A medical ai agent that helps automating the process of hospitals / insurance claiming workflow.,https://github.com/MahmoudRabea13/MediSuite-Ai-Agent
Lina-Egyptian-Medical-Chatbot,Health insurance,A medical ai agent that helps automating the process of hospitals / insurance claiming workflow.,https://github.com/MahmoudRabea13/MediSuite-Ai-Agent
Email Auto Responder Flow,Communication,Automates email responses based on predefined criteria to enhance communication efficiency.,https://github.com/crewAIInc/crewAI-examples/tree/main/flows/email_auto_responder_flow
Meeting Assistant Flow,Productivity,"Assists in organizing and managing meetings, including scheduling and agenda preparation.",https://github.com/crewAIInc/crewAI-examples/tree/main/flows/meeting_assistant_flow
Self Evaluation Loop Flow,Human Resources,"Facilitates self-assessment processes within an organization, aiding in performance reviews.",https://github.com/crewAIInc/crewAI-examples/tree/main/flows/self_evaluation_loop_flow
Lead Score Flow,Sales,Evaluates and scores potential leads to prioritize outreach in sales strategies.,https://github.com/crewAIInc/crewAI-examples/tree/main/flows/lead-score-flow
Marketing Strategy Generator,Marketing,Develops marketing strategies by analyzing market trends and audience data.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/marketing_strategy
Job Posting Generator,Recruitment,"Creates job postings by analyzing job requirements, aiding in recruitment processes.",https://github.com/crewAIInc/crewAI-examples/tree/main/crews/job-posting
Recruitment Workflow,Recruitment,Streamlines the recruitment process by automating various tasks involved in hiring.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/recruitment
Match Profile to Positions,Recruitment,Matches candidate profiles to suitable job positions to enhance recruitment efficiency.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/match_profile_to_positions
Instagram Post Generator,Social Media,"Generates and schedules Instagram posts automatically, streamlining social media management.",https://github.com/crewAIInc/crewAI-examples/tree/main/crews/instagram_post
Landing Page Generator,Web Development,"Automates the creation of landing pages for websites, facilitating web development tasks.",https://github.com/crewAIInc/crewAI-examples/tree/main/crews/landing_page_generator
Game Builder Crew,Game Development,Assists in the development of games by automating certain aspects of game creation.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/game-builder-crew
Stock Analysis Tool,Finance,Provides tools for analyzing stock market data to assist in financial decision-making.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/stock_analysis
Trip Planner,Travel,Assists in planning trips by organizing itineraries and managing travel details.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/trip_planner
Surprise Trip Planner,Travel,Plans surprise trips by selecting destinations and activities based on user preferences.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/surprise_trip
Write a Book with Flows,Creative Writing,Assists authors in writing books by providing structured workflows and writing assistance.,https://github.com/crewAIInc/crewAI-examples/tree/main/flows/write_a_book_with_flows
Screenplay Writer,Creative Writing,Aids in writing screenplays by offering templates and guidance for script development.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/screenplay_writer
Markdown Validator,Documentation,Validates Markdown files to ensure proper formatting and adherence to standards.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/markdown_validator
Meta Quest Knowledge,Knowledge Management,"Manages and organizes knowledge related to Meta Quest, facilitating information retrieval.",https://github.com/crewAIInc/crewAI-examples/tree/main/crews/meta_quest_knowledge
NVIDIA Models Integration,AI Integration,Integrates NVIDIA AI models into workflows to enhance computational capabilities.,https://github.com/crewAIInc/crewAI-examples/tree/main/integrations/nvidia_models
Prep for a Meeting,Productivity,Assists in preparing for meetings by organizing materials and setting agendas.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/prep-for-a-meeting
Starter Template,Development,Provides a starter template for new projects to streamline the setup process.,https://github.com/crewAIInc/crewAI-examples/tree/main/crews/starter_template
CrewAI + LangGraph Integration,AI Integration,Demonstrates integration between CrewAI and LangGraph for enhanced workflow automation.,https://github.com/crewAIInc/crewAI-examples/tree/main/integrations/CrewAI-LangGraph
"Automated Task Solving with Code Generation, Execution & Debugging",Software Development,"Demonstrates automated task-solving by generating, executing, and debugging code.",https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_auto_feedback_from_code_execution
Automated Code Generation and Question Answering with Retrieval Augmented Agents,Software Development,Generates code and answers questions using retrieval-augmented methods.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_RetrieveChat
Automated Code Generation and Question Answering with Qdrant-based Retrieval,Software Development,Utilizes Qdrant for enhanced retrieval-augmented agent performance.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_RetrieveChat_qdrant
"Automated Task Solving by Group Chat (3 members, 1 manager)",Collaboration,Demonstrates group task-solving via multi-agent collaboration.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_groupchat
"Automated Data Visualization by Group Chat (3 members, 1 manager)",Data Analysis,Uses multi-agent collaboration to create data visualizations.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_groupchat_vis
"Automated Complex Task Solving by Group Chat (6 members, 1 manager)",Collaboration,Solves complex tasks collaboratively with a larger group of agents.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_groupchat_research
Automated Task Solving with Coding & Planning Agents,Planning & Development,Combines coding and planning agents for solving tasks effectively.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_planning.ipynb
Automated Task Solving with Transition Paths Specified in a Graph,Collaboration,Uses predefined transition paths in a graph for solving tasks.,https://microsoft.github.io/autogen/docs/notebooks/agentchat_groupchat_finite_state_machine
Running a Group Chat as an Inner-Monologue via the SocietyOfMindAgent,Cognitive Sciences,Simulates inner-monologue for problem-solving using group chats.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_society_of_mind
Running a Group Chat with Custom Speaker Selection Function,Collaboration,Implements a custom function for speaker selection in group chats.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_groupchat_customized
Solving Multiple Tasks in a Sequence of Chats Initiated by a Single Agent,Workflow Automation,Automates sequential task-solving with a single initiating agent.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_multi_task_chats
Async-solving Multiple Tasks in a Sequence of Chats Initiated by a Single Agent,Workflow Automation,Handles asynchronous task-solving in a sequence of chats initiated by one agent.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_multi_task_async_chats
Solving Multiple Tasks in a Sequence of Chats Initiated by Different Agents,Workflow Automation,Facilitates sequential task-solving with different agents initiating each chat.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchats_sequential_chats
Solving Complex Tasks with Nested Chats,Problem Solving,Uses nested chats to solve hierarchical and complex problems.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nestedchat
Solving Complex Tasks with A Sequence of Nested Chats,Problem Solving,Demonstrates sequential task-solving using nested chats.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nested_sequential_chats
OptiGuide for Solving a Supply Chain Optimization Problem with Nested Chats,Supply Chain Optimization,"Showcases how to solve supply chain optimization problems using nested chats, a coding agent, and a safeguard agent.",https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nestedchat_optiguide
Conversational Chess with Nested Chats and Tool Use,Gaming,Explores the use of nested chats for playing conversational chess with integrated tools.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nested_chats_chess
Automated Continual Learning from New Data,Machine Learning,Continuously learns from new data inputs for adaptive AI.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_stream.ipynb
"OptiGuide - Coding, Tool Using, Safeguarding & Question Answering for Supply Chain Optimization",Supply Chain Optimization,"Highlights a solution combining coding, tool use, and safeguarding for supply chain optimization.",https://microsoft.github.io/autogen/blob/0.2/notebook/agentchat_nestedchat_optiguide
AutoAnny - A Discord bot built using AutoGen,Communication Tools,Showcases the development of a Discord bot using AutoGen for enhanced interaction.,https://github.com/microsoft/autogen/tree/main/samples/apps/auto-anny
Web Search: Solve Tasks Requiring Web Info,Information Retrieval,Searches the web to gather information required for completing tasks.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_web_info.ipynb
Use Provided Tools as Functions,Tool Integration,Demonstrates how to use pre-provided tools as callable functions in AutoGen.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_function_call_currency_calculator
Use Tools via Sync and Async Function Calling,Tool Integration,Illustrates synchronous and asynchronous tool usage within AutoGen workflows.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_function_call_async
Task Solving with Langchain Provided Tools as Functions,Language Processing,Leverages Langchain tools for task-solving within AutoGen.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_langchain.ipynb
RAG: Group Chat with Retrieval Augmented Generation,Collaboration,Enables group chat with Retrieval Augmented Generation (RAG) to support information sharing.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_groupchat_RAG
Function Inception: Update/Remove Functions During Conversations,Development Tools,Allows AutoGen agents to modify their functions dynamically during conversations.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_inception_function.ipynb
Agent Chat with Whisper,Audio Processing,Demonstrates AI agent capabilities for transcription and translation using Whisper.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_video_transcript_translate_with_whisper
