City,Population,Area,Density,Country,Year,km2,mi2,/km2,/mi2
Croix-des-Bouquets,"249,628",5,2,"45,719","118,413",Haiti,2015[1],,
Giza,"4,432,915",98,38,"45,050","116,679",Egypt,2017[2],,
Manila,"1,846,600",43,17,"43,064","111,537",Philippines,2020[3]2018[4],,
Mandaluyong,"425,758",11,4,"38,495","99,703",Philippines,2020[3][5],,
Malé,"211,908",6,2,"36,536","94,628",Maldives,2022[6],,
Dhaka,"10,295,786",304,117,"33,868","87,717",Bangladesh,2022[7],,
Bnei Brak,"227,463",7,3,"32,091","83,117",Israel,2023[8][9],,
Caloocan,"1,661,584",53,21,"31,233","80,893",Philippines,2020[3][5],,
Kolkata,"6,200,000",206,80,"30,097","77,952",India,2023[10]2023[11],,
Kathmandu,"1,442,000",49,19,"29,161","75,526",Nepal,2020[citation needed],,
Makati,"629,616",22,8,"28,975","75,044",Philippines,2020[3][5],,
Port-au-Prince,"987,310",36,14,"27,395","70,953",Haiti,2015[1],,
Levallois-Perret,"64,379",2,1,"26,713","69,187",France,2020[12],,
Guédiawaye,"373,638",14,5,"26,688","69,123",Senegal,2023[13],,
Montrouge,"54,260",2,1,"26,213","67,891",France,2020[14],,
Bogotá,"8,034,649",307,119,"26,141","67,705",Colombia,2020s[15][16],,
Vincennes,"49,891",2,1,"26,121","67,653",France,2020[17],,
Le Pré-Saint-Gervais,"17,950",1,0,"25,643","66,415",France,2020[18],,
Pasig,"803,159",31,12,"25,530","66,122",Philippines,2020[3][5],,
Saint-Mandé,"22,619",1,0,"24,586","63,677",France,2020[19],,
La Plata,"654,324",27,10,"24,234","62,767",Argentina,2010,,
Saint-Josse-ten-Noode,"27,548",1,0,"24,165","62,587",Belgium,[20][21],,
Guttenberg,"12,017",1,0,"24,034","62,248",United States,2020[22][23],,
Malabon,"380,522",16,6,"23,842","61,751",Philippines,2020[3][5],,
Pasay,"440,656",19,7,"23,640","61,229",Philippines,2020[3][5],,
"Neapoli, Thessaloniki","27,084",1,0,"23,149","59,955",Greece,[24],,
Damascus,"1,711,000",77,30,"22,221","57,552",Syria,[25],,
"San Juan, Metro Manila","126,347",6,2,"21,524","55,748",Philippines,2020[3][5],,
Navotas,"247,543",12,4,"21,507","55,703",Philippines,2020[3][5],,
Asmara,"963,000",45,17,"21,400","55,426",Eritrea,2012[26],,
Mislata,"43,756",2,1,"21,241","55,014",Spain,[27],,
Macau,"643,100",30,12,"21,224","54,971",China,2015[28][29],,
Kallithea,"100,050",5,2,"21,063","54,554",Greece,[30],,
Nea Smyrni,"73,090",4,1,"20,764","53,779",Greece,[30],,
Paris,"2,187,526",105,41,"20,755","53,754",France,2020[31],,
Union City,"68,589",3,1,"20,690","53,588",United States,2020[22][23],,
Mumbai,"12,442,373",603,233,"20,634","53,442",India,2013[32]2019[33],,
Colombo,"752,993",37,14,"20,351","52,710",Sri Lanka,,,
L'Hospitalet de Llobregat,"252,171",12,5,"20,336","52,671",Spain,2016[34],,
West New York,"52,912",3,1,"20,288","52,547",United States,2020[22][23],,
Marikina,"456,059",23,9,"20,144","52,173",Philippines,2020[3][5],,
Saint-Gilles,"50,002",3,1,"19,842","51,391",Belgium,[20][21],,
Clichy,"61,070",3,1,"19,828","51,354",France,2020[35],,
Kotsiubynske,"17,249",1,0,"19,826","51,351",Ukraine,,,
Courbevoie,"81,719",4,2,"19,597","50,756",France,2020[36],,
Boulogne-Billancourt,"120,071",6,2,"19,460","50,403",France,2020[37],,
Giv'atayim,"62,242",3,1,"19,210","49,755",Israel,2024[38],,
Las Piñas,"606,293",32,12,"18,935","49,041",Philippines,2020[3][5],,
Malé,"211,908",11,4,"18,887","48,916",Maldives,[39][40][41],,
Koekelberg,"21,990",1,0,"18,795","48,679",Belgium,,,
Bandung,"3,075,478",167,64,"18,416","47,698",Indonesia,,,
General Mariano Alvarez,"172,433",9,4,"18,344","47,511",Philippines,2020[3]2013[42],,
Monaco,"36,950",2,1,"18,292","47,377",Monaco,[43][44],,
Les Lilas,"23,045",1,0,"18,290","47,370",France,2020[45],,
Hoboken,"60,419",3,1,"18,226","47,205",United States,2020[22],,
Pikine,"758,554",42,16,"18,061","46,778",Senegal,2023[13],,
Quezon City,"2,960,048",166,64,"17,882","46,315",Philippines,2020[3][5],,
Modi'in Illit,"86,158",5,2,"17,838","46,201",Israel,2024,,
Vanves,"27,729",2,1,"17,775","46,037",France,2020[46],,
Asnières-sur-Seine,"85,191",5,2,"17,674","45,777",France,2020[47],,
Ciudad Nezahualcóyotl,"1,110,565",63,24,"17,503","45,334",Mexico,2010[48],,
Sliema,"22,591",1,1,"17,378","45,008",Malta,2019,,
Howrah,"1,077,075",63,24,"17,096","44,280",India,[32][49],,
Santa Coloma de Gramenet,"118,821",7,3,"16,974","43,964",Spain,2019[50],,
Chittagong,"2,582,401",155,60,"16,661","43,151",Bangladesh,2018[51],,
Sint-Jans-Molenbeek,"97,462",6,2,"16,547","42,857",Belgium,,,
Freetown,"1,347,559",81,31,"16,539","42,835",Sierra Leone,2024,,
Keur Massar,"759,849",46,18,"16,518","42,783",Senegal,2023[13],,
Seoul,"9,962,393",605,234,"16,461","42,634",South Korea,2013[52],,
Charenton-le-Pont,"30,374",2,1,"16,418","42,524",France,2020[53],,
La Garenne-Colombes,"29,169",2,1,"16,387","42,443",France,2020[54],,
Schaerbeek,"133,309",8,3,"16,377","42,417",Belgium,,,
Neuilly-sur-Seine,"60,361",4,1,"16,183","41,913",France,2020[55],,
Barcelona,"1,636,732",101,39,"16,149","41,827",Spain,2021[56],,
Issy-les-Moulineaux,"68,451",4,2,"16,106","41,715",France,2020[57],,
Jakarta,"10,560,000",662,255,"15,964","41,346",Indonesia,2019[58],,
Bat-Yam,"129,584",8,3,"15,842","41,030",Israel,2019,,
Gentilly,"18,605",1,0,"15,767","40,836",France,2020[59],,
Cairo,"9,539,673",606,234,"15,742","40,772",Egypt,2019[60],,
Buenos Aires,"3,120,612",203,78,"15,372","39,815",Argentina,2022,,
"Rosario, Cavite","110,807",8,3,"14,561","37,712",Philippines,2020[3]2013[42],,
Mandaue,"364,116",25,10,"14,461","37,453",Philippines,2020[3]2013[42],,
Warabi,"73,777",5,2,"14,438","37,394",Japan,2023[61],,
Bacoor,"664,625",46,18,"14,395","37,284",Philippines,2020[3]2013[42],,
El'ad,"50,289",4,1,"14,368","37,214",Israel,2024,,
Beitar Illit,"67,618",5,2,"14,296","37,026",Israel,2024,,
Senglea,"2,820",0,0,"14,100","36,519",Malta,2013,,
Cimahi,"568,400",40,16,"14,080","36,467",Indonesia,2020,,
"San Pedro, Laguna","326,001",24,9,"13,555","35,108",Philippines,2020[3]2013[42],,
Lagos,"15,388,000","1,171",452,"13,138","34,027",Nigeria,2024[62],,
Kiryat Motzkin,"49,400",4,1,"13,103","33,938",Israel,2024,,
Gaza City,"590,481",45,17,"13,122","33,985",Palestine,2017[63],,
Geneva,"201,818",16,6,"12,677","32,833",Switzerland,2020,,
Portici,"53,801",5,2,"11,903","30,828",Italy,2019,,
Karachi,"20,382,881","2,147",829,"9,494","24,589",Pakistan,2023[64],,
